xs,bs1_vacc,bs2_vacc,bs4_vacc,bs8_vacc,bs16_vacc
1,38.56485659637844,68.35124440559358,50.3283201425472,9.189374139482693,13.839132713910516
2,55.291943165032805,67.72453849187522,54.78482652313077,34.448693794251554,24.176303591177476
3,70.13144296725034,78.19050923904962,57.71109651033939,47.53290273618402,43.163811116868445
4,77.50368516458116,85.23376625868232,71.18202858151477,57.24959465291211,57.17637050531694
5,82.82154140188413,89.00738086583537,78.27288976120525,67.40266541011744,58.49968613691994
6,86.93855691496799,91.34241586630783,82.93807213024607,67.03525436643389,63.4538402404696
7,89.64315993848474,92.6129306040585,85.59632744416695,72.57362009232654,65.86317026205748
8,90.85414444515227,93.4506558139166,87.46983515229755,78.25167016273471,69.50671202152326
9,91.42287802016565,93.93816699289181,89.05534448069143,80.12211796118802,73.70846760331713
10,91.22666796831376,94.25552499860964,90.73046786831353,82.63914574224066,77.95441253651943
11,91.1652563235034,94.46050745766902,91.88995176823053,85.68578056288729,80.45234243256982
12,91.24076772981441,94.21418473315615,92.24924611065188,85.8680167085837,79.79874446023902
13,91.09096257999272,94.32500515548529,92.85505766231954,87.77019848145753,77.35347469977913
14,90.66591440913798,94.27765197702823,93.0574828236143,88.63397301208494,77.91088302669405
15,90.70152297446762,94.19055479564906,93.3458807800089,88.88591621388876,79.40645794903378
16,90.14272368891747,94.10026445852476,93.50169549071322,89.37573684079351,82.29905129595224
17,89.74794717176249,93.89625405163974,93.39934585864475,89.91996959905241,82.92191981957708
18,89.52463066684301,93.97847735929099,93.28382044703444,90.43583506195188,83.45351487561537
19,89.63768721341737,94.07442631962286,93.06095287486099,90.62781977214783,84.07648113384263
20,88.38055484441603,93.93166373224861,92.9499642736983,90.63637879207491,85.17011177130658
