xs,0_tloss,3_tloss,5_tloss,7_tloss,9_tloss,0_vloss,3_vloss,5_vloss,7_vloss,9_vloss
1,0.14826683700084686,0.14958803355693817,0.15211087465286255,0.15024207532405853,0.15243957936763763,0.1345372200012207,0.1782238930463791,0.1540718525648117,0.14903360605239868,0.20585785806179047
2,0.14325138330459594,0.14292623102664948,0.14513399302959443,0.14344422221183778,0.14369368255138398,0.13634627610445021,0.16375721991062164,0.15281832665205003,0.1444927155971527,0.1880426302552223
3,0.13981109619140625,0.14127501845359802,0.14069740116596222,0.14002228856086732,0.13835237801074982,0.13720507159829137,0.15225805342197418,0.14489126667380334,0.14083411991596223,0.1677600571513176
4,0.1329689612388611,0.13437890708446504,0.13400882339477538,0.1335806442499161,0.13213262212276458,0.13334415917098522,0.14243792071938516,0.1398092391639948,0.13485716447234153,0.15256970900297165
5,0.12773219457864762,0.1288074243068695,0.12863880934715272,0.12838978939056397,0.12777555536031723,0.12934091141968965,0.13634395055472853,0.1357488788947463,0.1317555468827486,0.14197878161668778
6,0.12196197196483612,0.1232767368555069,0.12360017813205719,0.12350165644407274,0.12399074505090713,0.12771623647019265,0.13126609019190075,0.1317787712265551,0.12787700077742337,0.1348041776192188
7,0.11620398992156983,0.11803359251022338,0.11889021870279312,0.1198497004275322,0.12141373632478714,0.12404739678962526,0.1305749108813703,0.12861098118768632,0.12540730651810764,0.13189322882497312
8,0.10950522426309586,0.11412766758918763,0.11379758428249359,0.11500873116512297,0.11910055529327393,0.12177384743833987,0.12567360111035408,0.12543671267929227,0.12279188058392701,0.12657661332212689
9,0.102072910680542,0.10762280000972749,0.10835898433412552,0.11066887407644271,0.11617993395030976,0.12128507489781691,0.12244224956204743,0.12141011438162909,0.12071062669288662,0.12273885399566056
10,0.0938979257997551,0.10138706325979233,0.1035325830749092,0.10640120756285858,0.11367262832522583,0.12101653840516785,0.11992083775400297,0.11890024241779495,0.11915121482404156,0.11967926237311138
11,0.08588323374019777,0.09396123224294663,0.09778770230497588,0.1021635706291893,0.11032256755113679,0.12203900355559931,0.11955078593074703,0.11683261153978083,0.11746314346407313,0.1173311366074117
12,0.08005642743677582,0.08856279436268998,0.09332590469632812,0.09890304009383116,0.10763495672893555,0.12739213443719985,0.11936760252540904,0.11637901048379523,0.11647140285104635,0.11631706584522947
13,0.07432593346345698,0.08305935723987656,0.08885463592972068,0.09496956120040097,0.10437076939802183,0.1324826567952489,0.1220738163995536,0.11772842676800657,0.11884495651236263,0.11601245339036859
14,0.07018677568717112,0.07858078693710739,0.08462280588374817,0.09102089027605882,0.10062536608640676,0.1365795182892937,0.12559066116665346,0.12117838243597268,0.1193499649550295,0.11679240420187129
15,0.06715855469816251,0.07495378460630964,0.0817356325468472,0.08826788393673274,0.09769954983975221,0.14197602752809535,0.1286607685675043,0.12530851230986378,0.12169492388666106,0.11785231007444094
16,0.06393317320153444,0.07115090988534764,0.07738849639022555,0.0840389529983877,0.09273986102972717,0.14709424146786698,0.13392824700403935,0.13168681468742316,0.12519928317696158,0.12024003646090689
17,0.06186965480727088,0.0681528060732606,0.07460588711152158,0.08053789983672616,0.08848560733331955,0.15130875873707492,0.13674018323073894,0.13376231456124837,0.12978132467469783,0.1252145272187446
18,0.060190296919274855,0.06625249769680988,0.07204908181289706,0.0777091843902378,0.0848235016375133,0.15400369522670837,0.13842634337897178,0.1378914055727605,0.13325388561388699,0.12804629764799655
19,0.057987222522945615,0.06378045891282277,0.06950563211862196,0.07491407595154877,0.08065077266332898,0.157563652499417,0.14228753680416498,0.13958634001531986,0.13670440496494962,0.13116544488361542
20,0.05697509425896462,0.06202153201722033,0.06741533287216803,0.0725218849463353,0.07691194554661669,0.16044337613655096,0.14671162619292724,0.14468889975312502,0.13962497151934522,0.13600431980991112
